Date,PVR1
2020-02-04,5.134
2020-02-05,5.301
2020-02-06,5.348
2020-02-07,5.296
2020-02-08,5.154
2020-02-09,4.436
2020-02-10,4.119
2020-02-11,3.962
2020-02-12,1.636
2020-02-13,4.651
2020-02-14,4.562
2020-02-15,4.461
2020-02-16,4.237
2020-02-17,4.113
2020-02-18,4.479
2020-02-19,4.632
2020-02-20,5.314
2020-02-21,5.426
2020-02-22,5.434
2020-02-23,5.304
2020-02-24,4.997
2020-02-25,4.616
2020-02-26,5.031
2020-02-27,5.137
2020-02-28,5.392
2020-02-29,5.369
2020-03-01,5.364
2020-03-02,5.343
2020-03-03,2.545
2020-03-04,1.996
2020-03-05,3.345
2020-03-06,5.678
2020-03-07,5.435
2020-03-08,4.251
2020-03-09,5.555
2020-03-10,4.716
2020-03-11,3.888
2020-03-12,5.608
2020-03-13,5.832
2020-03-14,5.343
2020-03-15,5.804
2020-03-16,5.838
2020-03-17,5.737
2020-03-18,5.599
2020-03-19,4.802
2020-03-20,5.396
2020-03-21,5.008
2020-03-22,3.777
2020-03-23,4.047
2020-03-24,5.035
2020-03-25,5.687
2020-03-26,5.083
2020-03-27,5.314
2020-03-28,5.131
2020-03-29,5.276
2020-03-30,5.652
2020-03-31,5.726
2020-04-01,5.42
2020-04-02,4.986
2020-04-03,3.847
2020-04-04,4.658
2020-04-05,5.02
2020-04-06,5.138
2020-04-07,4.895
2020-04-08,1.776
2020-04-09,4.945
2020-04-10,5.681
2020-04-11,5.699
2020-04-12,5.785
2020-04-13,5.585
2020-04-14,5.823
2020-04-15,5.342
2020-04-16,4.792
2020-04-17,5.42
2020-04-18,5.616
2020-04-19,5.165
2020-04-20,3.041
2020-04-21,5.317
2020-04-22,5.579
2020-04-23,5.543
2020-04-24,5.654
2020-04-25,5.732
2020-04-26,5.682
2020-04-27,5.617
2020-04-28,5.22
2020-04-29,5.175
2020-04-30,4.963
2020-05-01,5.125
2020-05-02,5.354
2020-05-03,5.226
2020-05-04,5.324
2020-05-05,5.539
2020-05-06,5.531
2020-05-07,5.606
2020-05-08,5.525
2020-05-09,5.332
2020-05-10,4.743
2020-05-11,4.899
2020-05-12,4.848
2020-05-13,4.704
2020-05-14,4.471
2020-05-15,4.999
2020-05-16,4.809
2020-05-17,3.721
2020-05-18,3.997
2020-05-19,3.968
2020-05-20,3.804
2020-05-21,3.888
2020-05-22,3.615
2020-05-23,3.832
2020-05-24,3.792
2020-05-25,3.466
2020-05-26,0.006
2020-05-27,0
2020-05-28,0
2020-05-29,0.001
2020-05-30,0.011
2020-05-31,0.403
2020-06-01,0.56
2020-06-02,0.108
2020-06-03,0.268
2020-06-04,0.636
2020-06-05,1.066
2020-06-06,1.115
2020-06-07,1.167
2020-06-08,3.764
2020-06-09,3.831
2020-06-10,3.845
2020-06-11,3.512
2020-06-12,3.836
2020-06-13,3.856
2020-06-14,3.972
2020-06-15,4.472
2020-06-16,4.656
2020-06-17,5.622
2020-06-18,5.837
2020-06-19,5.581
2020-06-20,5.836
2020-06-21,5.416
2020-06-22,3.951
2020-06-23,3.864
2020-06-24,3.967
2020-06-25,3.971
2020-06-26,3.882
2020-06-27,3.943
2020-06-28,3.906
2020-06-29,3.83
2020-06-30,3.764
2020-07-01,3.477
2020-07-02,3.766
2020-07-03,3.846
2020-07-04,3.889
2020-07-05,3.846
2020-07-06,3.898
2020-07-07,3.504
2020-07-08,2.412
2020-07-09,4.299
2020-07-10,5.304
2020-07-11,5.426
2020-07-12,4.822
2020-07-13,5.074
2020-07-14,5.072
2020-07-15,5.02
2020-07-16,5.049
2020-07-17,5.112
2020-07-18,5.137
2020-07-19,5.246
2020-07-20,5.227
2020-07-21,5.015
2020-07-22,2.854
2020-07-23,5.471
2020-07-24,5.311
2020-07-25,5.391
2020-07-26,5.392
2020-07-27,5.393
2020-07-28,5.377
2020-07-29,4.299
2020-07-30,3.756
2020-07-31,3.739
2020-08-01,3.826
2020-08-02,3.793
2020-08-03,3.791
2020-08-04,3.474
2020-08-05,2.137
2020-08-06,3.369
2020-08-07,3.292
2020-08-08,3.884
2020-08-09,4.126
2020-08-10,5.182
2020-08-11,4.936
2020-08-12,4.812
2020-08-13,5.682
2020-08-14,5.336
2020-08-15,3.826
2020-08-16,3.793
2020-08-17,3.791
2020-08-18,3.474
2020-08-19,2.137
2020-08-20,3.369
2020-08-21,3.292
2020-08-22,3.884
2020-08-23,4.126
2020-08-24,5.182
2020-08-25,4.936
2020-08-26,4.812
2020-08-27,5.682
2020-08-28,5.336
2020-08-29,5.45
2020-08-30,5.53
2020-08-31,5.08
2020-09-01,5.454
2020-09-02,5.445
2020-09-03,5.493
2020-09-04,5.493
2020-09-05,5.58
2020-09-06,5.721
2020-09-07,5.657
2020-09-08,4.982
2020-09-09,0.373
2020-09-10,4.356
2020-09-11,5.636
2020-09-12,5.662
2020-09-13,5.644
2020-09-14,5.379
2020-09-15,5.682
2020-09-16,5.76
2020-09-17,5.675
2020-09-18,5.507
2020-09-19,5.307
2020-09-20,5.825
2020-09-21,5.699
2020-09-22,5.511
2020-09-23,5.263
2020-09-24,5.456
2020-09-25,5.505
2020-09-26,5.584
2020-09-27,5.659
2020-09-28,5.554
2020-09-29,5.46
2020-09-30,5.63
2020-10-01,5.366
2020-10-02,5.755
2020-10-03,5.727
2020-10-04,5.735
2020-10-05,5.643
2020-10-06,5.613
2020-10-07,5.432
2020-10-08,5.257
2020-10-09,5.908
2020-10-10,5.768
2020-10-11,5.738
2020-10-12,5.841
2020-10-13,5.08
2020-10-14,2.637
2020-10-15,3.968
2020-10-16,5.015
2020-10-17,5.137
2020-10-18,5.165
2020-10-19,5.944
2020-10-20,5.964
2020-10-21,5.669
2020-10-22,5.974
2020-10-23,5.954
2020-10-24,6.031
2020-10-25,5.845
2020-10-26,5.781
2020-10-27,6.007
2020-10-28,5.798
2020-10-29,5.423
2020-10-30,5.925
2020-10-31,6.002
2020-11-01,5.262
2020-11-02,7.052
2020-11-03,7.204
2020-11-04,7.216
2020-11-05,7.153
2020-11-06,6.926
2020-11-07,6.046
2020-11-08,5.142
2020-11-09,7.254
2020-11-10,7.733
2020-11-11,7.555
2020-11-12,7.36
2020-11-13,7.515
2020-11-14,6.372
2020-11-15,5.261
2020-11-16,5.127
2020-11-17,7.3
2020-11-18,7.349
2020-11-19,7.338
2020-11-20,6.798
2020-11-21,5.772
2020-11-22,5.194
2020-11-23,7.05
2020-11-24,7.574
2020-11-25,7.596
2020-11-26,7.555
2020-11-27,7.321
2020-11-28,6.401
2020-11-29,5.816
2020-11-30,7.946
2020-12-01,7.86
2020-12-02,8.134
2020-12-03,7.84
2020-12-04,7.352
2020-12-05,6.485
2020-12-06,5.233
2020-12-07,7.779
2020-12-08,7.791
2020-12-09,7.547
2020-12-10,7.929
2020-12-11,7.165
2020-12-12,5.31
2020-12-13,5.798
2020-12-14,7.703
2020-12-15,7.331
2020-12-16,7.281
2020-12-17,7.217
2020-12-18,7.353
2020-12-19,6.235
2020-12-20,5.743
2020-12-21,8.027
2020-12-22,7.899
2020-12-23,6.453
2020-12-24,2.936
2020-12-25,2.661
2020-12-26,3.715
2020-12-27,3.978
2020-12-28,5.328
2020-12-29,5.646
2020-12-30,4.617
2020-12-31,2.518
2021-01-01,5.425
2021-01-02,5.944
2021-01-03,5.827
2021-01-04,5.934
2021-01-05,5.985
2021-01-06,5.856
2021-01-07,6.073
2021-01-08,6.001
2021-01-09,5.999
2021-01-10,6.003
2021-01-11,5.917
2021-01-12,6.145
2021-01-13,5.443
2021-01-14,6.202
2021-01-15,5.758
2021-01-16,6.349
2021-01-17,6.433
2021-01-18,6.11
2021-01-19,5.354
2021-01-20,0
2021-01-21,0.958
2021-01-22,3.058
2021-01-23,4.523
2021-01-24,5.394
2021-01-25,5.214
2021-01-26,5.508
2021-01-27,6.551
2021-01-28,5.695
2021-01-29,5.334
2021-01-30,5.575
2021-01-31,5.621
2021-02-01,
2021-02-02,
2021-02-03,
2021-02-04,
2021-02-05,
2021-02-06,
2021-02-07,
2021-02-08,
2021-02-09,
2021-02-10,
2021-02-11,
2021-02-12,
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,
2021-02-17,
2021-02-18,
2021-02-19,
2021-02-20,
2021-02-21,
2021-02-22,
2021-02-23,
2021-02-24,
2021-02-25,
2021-02-26,
2021-02-27,
2021-02-28,
2021-03-01,4.971
2021-03-02,5.294
2021-03-03,5.241
2021-03-04,5.688
2021-03-05,5.237
2021-03-06,5.258
2021-03-07,5.219
2021-03-08,5.321
2021-03-09,6.54
2021-03-10,6.58
2021-03-11,6.865
2021-03-12,6.885
2021-03-13,6.841
2021-03-14,6.807
2021-03-15,6.826
2021-03-16,5.625
2021-03-17,4.314
2021-03-18,6.588
2021-03-19,6.131
2021-03-20,6.199
2021-03-21,6.231
2021-03-22,6.079
2021-03-23,6.146
2021-03-24,6.06
2021-03-25,6.078
2021-03-26,6.777
2021-03-27,6.907
2021-03-28,6.985
2021-03-29,6.971
2021-03-30,6.889
2021-03-31,6.89
2021-04-01,6.561
2021-04-02,6.914
2021-04-03,6.65
2021-04-04,6.865
2021-04-05,6.521
2021-04-06,6.846
2021-04-07,6.756
2021-04-08,6.74
2021-04-09,6.022
2021-04-10,5.549
2021-04-11,5.288
2021-04-12,6.309
2021-04-13,5.97
2021-04-14,3.477
2021-04-15,6.939
2021-04-16,6.899
2021-04-17,6.693
2021-04-18,6.545
2021-04-19,6.626
2021-04-20,6.657
2021-04-21,6.616
2021-04-22,6.586
2021-04-23,6.413
2021-04-24,6.742
2021-04-25,6.872
2021-04-26,6.928
2021-04-27,5.09
2021-04-28,4.878
2021-04-29,5.245
2021-04-30,6.08
2021-05-01,6.69
2021-05-02,6.78
2021-05-03,6.2
2021-05-04,6.64
2021-05-05,6.8
2021-05-06,6.75
2021-05-07,6.01
2021-05-08,5.29
2021-05-09,5.3
2021-05-10,6.29
2021-05-11,5.29
2021-05-12,2.88
2021-05-13,6.02
2021-05-14,7.02
2021-05-15,6.84
2021-05-16,
2021-05-17,
2021-05-18,
2021-05-19,
2021-05-20,
2021-05-21,
2021-05-22,
2021-05-23,
2021-05-24,
2021-05-25,
2021-05-26,
2021-05-27,
2021-05-28,
2021-05-29,
2021-05-30,
2021-05-31,
2021-06-01,5.5
2021-06-02,6.38
2021-06-03,6.34
2021-06-04,6.37
2021-06-05,6.79
2021-06-06,6.66
2021-06-07,6.83
2021-06-08,5.95
2021-06-09,2.37
2021-06-10,5.57
2021-06-11,5.64
2021-06-12,6.08
2021-06-13,6.22
2021-06-14,0
2021-06-15,6.22
2021-06-16,
2021-06-17,
2021-06-18,
2021-06-19,
2021-06-20,
2021-06-21,
2021-06-22,
2021-06-23,
2021-06-24,
2021-06-25,
2021-06-26,
2021-06-27,
2021-06-28,
2021-06-29,
2021-06-30,
2021-07-01,6.9
2021-07-02,6.91
2021-07-03,6.86
2021-07-04,6.9
2021-07-05,6.87
2021-07-06,5.81
2021-07-07,2.77
2021-07-08,6.02
2021-07-09,6.72
2021-07-10,6.75
2021-07-11,6.93
2021-07-12,6.93
2021-07-13,6.9
2021-07-14,6.97
2021-07-15,7.08
2021-07-16,6.99
2021-07-17,6.49
2021-07-18,7.01
2021-07-19,7
2021-07-20,7.02
2021-07-21,5.78
2021-07-22,7.16
2021-07-23,7.21
2021-07-24,7.22
2021-07-25,5.27
2021-07-26,6.84
2021-07-27,7.31
2021-07-28,7.32
2021-07-29,7.32
2021-07-30,7.3
2021-07-31,7.28
2021-08-01,1023.66
2021-08-02,1009.13
2021-08-03,1026.47
2021-08-04,1046.67
2021-08-05,1047.25
2021-08-06,1019.22
2021-08-07,1004.79
2021-08-08,1010.8
2021-08-09,1005.02
2021-08-10,1048.79
2021-08-11,1034.79
2021-08-12,1028.34
2021-08-13,1026.3
2021-08-14,1018.65
2021-08-15,1039.59
